Profile ID;Organisation;Location;Work Category;
666;Aalaya Darshanam Trust;Andhra Pradesh, Hyderabad;Art and Culture , Social Welfare , Trusts;
7786;Aall India Deaf & Dumb Society;Delhi, Delhi;Disabilities - Hearing - Challenged;
17986;Aalochana;Maharashtra, Pune;Documentation Centre , Women;
16120;Aamad Pratishthan;Maharashtra, Mumbai, Santacruz (W);Art and Culture;
13090;Aamhi Aamachya Arogya Sathi;Maharashtra, Gadchiroli;Social Welfare;
13096;Aamhi Aamachya Arogya Sathi;Maharashtra, Gadchiroli;Social Welfare , Social Welfare;
2030;Aami Sahayatree;Assam, Guwahati;Social Welfare , Social Welfare;
16026;AAMRAE;Maharashtra, Mumbai, Santacruz (E);Rural Development , Social Welfare;
6574;Aanchal Charitable Trust;Delhi, Delhi;Social Welfare;
2720;Aanchal Educational Society;Chandigarh, Chandigarh;Children - Education;
22954;Aanchal Seva Sansthan;Rajasthan, Jaipur;Children;
16224;Aangan Trust;Maharashtra, Mumbai, Tardeo;Children - Orphanages , Prisons;
32946;AANJANEYA GYAANPEETH;Uttar Pradesh, Allahabad;Children - Education , Disaster Management , Women;
35798;Aanteeka;Jharkhand, Deoghar;Community Development , Rural Development , Self Help Groups;
22860;Aapni Yojna;Rajasthan, Churu;Community Development , Family Welfare , Medical - Health;
2658;AAPSI;Chandigarh, Chandigarh;Blood donation , Senior Citizens , Spiritual Development;
15284;Aapulaki Sangh (AAS);Maharashtra, Mumbai, Kurla (W);Children - Education , Children - Slums , Environment;
13162;Aapulki Bahu-Uddeshiya Sanstha;Maharashtra, Jalgaon;Children , Education - Literacy , Women;
2994;Aaradhana Manav Vikas Samiti;Chhattisgarh, Korba;Environment , Human Rights , Rural and Urban Development;
14738;Aarambh;Maharashtra, Mumbai, Ghatkopar (E);Children , Children - Education;
17154;Aarambh;Maharashtra, Navi Mumbai;Children;
25862;Aarambh Charitable Trust;Tamil Nadu, Chennai;Children - Education , Microfinance , Vocational Training;
