Name;Screen Size;Camera;RAM;Battery;Price
Vivo Y69;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 13,190
Lenovo Z2 Plus;5 inch Screen;13MP Camera;3GB RAM;3500mAh ;Rs. 9,799 
Samsung Galaxy J7 (2016);5.5 inch Screen;13MP Camera;2GB RAM;3300mAh ;Rs. 11,999
Lenovo K8 Note;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 10,999
Lenovo K6 Power (4GB);5 inch Screen;13MP Camera;4GB RAM;4000mAh ;Rs. 9,999 
Samsung Galaxy A7 (2016);5.5 inch Screen;13MP Camera;3GB RAM;3300mAh ;Rs. 17,490
Apple iPhone 7 Plus 128GB;5.5 inch Screen;12MP Camera;3GB RAM;2900mAh ;Rs. 59,999
Micromax Canvas XP 4G;5 inch Screen;8MP Camera;3GB RAM;2000mAh ;Rs. 4,632 
Samsung Galaxy J5;5 inch Screen;13MP Camera;1.5GB RAM;2600mAh ;Rs. 10,490
Lenovo P2;5.5 inch Screen;13MP Camera;3GB RAM;5100mAh ;Rs. 12,999
Samsung Galaxy J5 Prime;5 inch Screen;13MP Camera;2GB RAM;2400mAh ;Rs. 11,799
Samsung Galaxy J2;4.7 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 6,690 
Honor 8;5.2 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 14,999
Gionee P7 Max;5.5 inch Screen;13MP Camera;3GB RAM;3100mAh ;Rs. 9,199 
Micromax Canvas Infinity;5.7 inch Screen;13MP Camera;3GB RAM;2900mAh ;Rs. 9,799 
Panasonic Eluga Ray Max (4GB/64GB);5.2 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 10,999
Apple iPhone 6 32GB;4.7 inch Screen;8MP Camera;1GB RAM;1810mAh ;Rs. 23,999
LeEco Le Max 2;5.7 inch Screen;21MP Camera;4GB RAM;3100mAh ;Rs. 11,990
Gionee A1;5.5 inch Screen;13MP Camera;4GB RAM;4010mAh ;Rs. 13,999
OnePlus 5;5.5 inch Screen;20MP Camera;6GB RAM;3300mAh ;Rs. 32,955
Samsung Galaxy S8 Plus;6.2 inch Screen;12MP Camera;4GB RAM;3500mAh ;Rs. 58,900
Micromax Canvas Juice 4G;5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 6,890 
Nokia 3;5 inch Screen;8MP Camera;2GB RAM;2650mAh ;Rs. 8,290 
Samsung Galaxy J2 Ace (G532G);5 inch Screen;8MP Camera;1.5GB RAM;2600mAh ;Rs. 8,000 
Micromax Vdeo 4 (Q4251);5 inch Screen;8MP Camera;1GB RAM;4000mAh ;Rs. 5,845 
Samsung Galaxy J1 4G (2017);4.5 inch Screen;5MP Camera;1GB RAM;2050mAh ;Rs. 6,890 
Itel SelfiePro it1520;5 inch Screen;13MP Camera;2GB RAM;2500mAh ;Rs. 7,100 
Micromax Canvas Sliver 5 Q450;4.8 inch Screen;8MP Camera;2GB RAM;2000mAh ;Rs. 6,190 
Coolpad Cool 1 Dual 3GB;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,999 
Honor 6X (4GB/64GB);5.5 inch Screen;12MP Camera;4GB RAM;3340mAh ;Rs. 11,999
Samsung Galaxy S7 Edge;5.5 inch Screen;12MP Camera;4GB RAM;3600mAh ;Rs. 38,900
Samsung Galaxy J7;5.5 inch Screen;13MP Camera;1.5GB RAM;3000mAh ;Rs. 11,700
Oppo F3 Plus;6 inch Screen;16MP Camera;4GB RAM;4000mAh ;Rs. 23,899
Oppo A71;5.2 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 11,300
Apple iPhone SE;4 inch Screen;12MP Camera;2GB RAM;1642mAh ;Rs. 18,999
Samsung Galaxy Note 8;6.3 inch Screen;12MP Camera;6GB RAM;3300mAh ;Rs. 67,900
LYF Water 1;5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 6,078 
Xiaomi Redmi 4;5 inch Screen;13MP Camera;2GB RAM;4100mAh ;Rs. 6,999 
Samsung Galaxy C5 (64GB);5.2 inch Screen;16MP Camera;4GB RAM;2600mAh ;Rs. 18,490
Apple iPhone 6;4.7 inch Screen;8MP Camera;1GB RAM;1810mAh ;Rs. 24,499
Lenovo Vibe K5 Plus 3GB;5 inch Screen;13MP Camera;3GB RAM;2750mAh ;Rs. 7,499 
Xiaomi Mi A1;5.5 inch Screen;12MP Camera;4GB RAM;3080mAh ;Rs. 14,999
Micromax Canvas 6 Pro;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 8,497 
Micromax Unite Canvas 4 Pro Q465;5 inch Screen;8MP Camera;2GB RAM;3900mAh ;Rs. 8,771 
Lenovo Z2 Plus (4GB/64GB);5 inch Screen;13MP Camera;4GB RAM;3500mAh ;Rs. 10,280
Samsung Galaxy A5;5 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 15,490
Samsung Galaxy J5 Prime (32GB);5 inch Screen;8MP Camera;3GB RAM;2400mAh ;Rs. 12,990
Itel It1512;5 inch Screen;5MP Camera;1GB RAM;2500mAh ;Rs. 6,491 
HTC Desire 10 pro;5.5 inch Screen;20MP Camera;4GB RAM;3000mAh ;Rs. 18,799
LG Q6;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 12,990
Panasonic Eluga Ray 700;5.5 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 9,999 
Nokia 5;5.2 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 12,299
Vivo Y55L;5.2 inch Screen;8MP Camera;2GB RAM;2650mAh ;Rs. 10,980
ZTE Blade A2 Plus;5.5 inch Screen;13MP Camera;4GB RAM;5000mAh ;Rs. 7,999 
Honor 8 Pro;5.7 inch Screen;12MP Camera;6GB RAM;4000mAh ;Rs. 26,999
Motorola Moto Z Play;5.5 inch Screen;16MP Camera;3GB RAM;3510mAh ;Rs. 22,499
Asus Zenfone Max 2016 2GB;5.5 inch Screen;13MP Camera;2GB RAM;5000mAh ;Rs. 7,299 
Xiaomi Redmi 4 Prime;5 inch Screen;13MP Camera;3GB RAM;4100mAh ;Rs. 8,999 
Lenovo P2 4GB;5.5 inch Screen;13MP Camera;4GB RAM;5100mAh ;Rs. 14,999
Oppo Neo 5 (2014);4.5 inch Screen;5MP Camera;1GB RAM;1900mAh ;Rs. 6,991 
Infinix Hot 4 Pro;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 5,999 
Micromax Canvas Xpress 4G;5 inch Screen;8MP Camera;2GB RAM;2000mAh ;Rs. 4,599 
Apple iPhone SE (32GB);4 inch Screen;12MP Camera;2GB RAM;1642mAh ;Rs. 17,999
Samsung Galaxy S6;5.1 inch Screen;16MP Camera;3GB RAM;2550mAh ;Rs. 31,856
Micromax Bolt Selfie Q424;4.5 inch Screen;5MP Camera;1GB RAM;1750mAh ;Rs. 4,209 
Motorola Moto G5 Plus;5.2 inch Screen;12MP Camera;3GB RAM;3000mAh ;Rs. 13,999
Samsung Galaxy C7 (64GB);5.7 inch Screen;16MP Camera;4GB RAM;3300mAh ;Rs. 22,700
Coolpad Cool Play 6;5.5 inch Screen;13MP Camera;6GB RAM;4000mAh ;Rs. 14,999
Samsung Galaxy A3 (2017);4.7 inch Screen;13MP Camera;2GB RAM;2350mAh ;Rs. 13,990
LYF F1S;5.2 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 8,999 
Micromax Bharat 2;4 inch Screen;2MP Camera;512MB RAM;1300mAh ;Rs. 3,225 
Samsung Galaxy S7;5.1 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 29,990
Xiaomi Redmi Note 3 (16GB);5.5 inch Screen;16MP Camera;2GB RAM;4050mAh ;Rs. 10,279
Panasonic P55 Max;5.5 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 7,499 
Honor 8 Smart;5.2 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,499 
Micromax Canvas Knight 2 E471;5 inch Screen;13MP Camera;2GB RAM;2230mAh ;Rs. 5,999 
Lenovo K8 Plus;5.2 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,999 
Motorola Moto G4 Plus 32GB;5.5 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 12,269
Micromax Vdeo 3 (Q4202);5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,990 
Intex Cloud Q11 4G;5.5 inch Screen;8MP Camera;1GB RAM;2800mAh ;Rs. 4,699 
Vivo V3;5 inch Screen;13MP Camera;3GB RAM;2550mAh ;Rs. 14,980
Karbonn Titanium Vista 4G;5 inch Screen;8MP Camera;1GB RAM;2300mAh ;Rs. 4,899 
Oppo R7 Lite;5 inch Screen;13MP Camera;2GB RAM;2320mAh ;Rs. 11,100
Honor 5X;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 8,999 
Apple iPhone 6 Plus;5.5 inch Screen;8MP Camera;1GB RAM;2915mAh ;Rs. 32,990
Apple iPhone 6s 32GB;4.7 inch Screen;12MP Camera;2GB RAM;1715mAh ;Rs. 34,499
Tecno i3;5 inch Screen;8MP Camera;2GB RAM;3050mAh ;Rs. 7,999 
Micromax Canvas Spark 4G;5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 3,899 
Panasonic Eluga Ray;5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 7,999 
OnePlus 5 (8GB/128GB);5.5 inch Screen;20MP Camera;8GB RAM;3300mAh ;Rs. 43,490
Asus Zenfone 2 2.3GHz/4GB/32GB;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 8,799 
Gionee S6;5.5 inch Screen;13MP Camera;3GB RAM;3150mAh ;Rs. 10,949
Vivo V1 Max;5.5 inch Screen;13MP Camera;2GB RAM;2720mAh ;Rs. 11,052
Oppo F1s;5.5 inch Screen;13MP Camera;3GB RAM;3075mAh ;Rs. 16,990
Intex Aqua 4.0 4G;4 inch Screen;2MP Camera;512MB RAM;1500mAh ;Rs. 3,284 
Vivo Y51L;5 inch Screen;8MP Camera;2GB RAM;2350mAh ;Rs. 9,290 
Apple iPhone 6s Plus 32GB;5.5 inch Screen;12MP Camera;2GB RAM;2750mAh ;Rs. 44,038
Motorola Moto Z Force 64GB;5.5 inch Screen;21MP Camera;4GB RAM;3500mAh ;Rs. 39,999
Nokia 8;5.3 inch Screen;13MP Camera;4GB RAM;3090mAh ;Rs. 35,999
Gionee X1;5 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 7,999 
Asus Zenfone 3 (ZE552KL);5.5 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 15,899
Motorola Moto X Force;5.4 inch Screen;21MP Camera;3GB RAM;3760mAh ;Rs. 19,990
Apple iPhone 5s;4 inch Screen;8MP Camera;1GB RAM;1560mAh ;Rs. 16,199
Oppo Neo 7;5 inch Screen;8MP Camera;1GB RAM;2420mAh ;Rs. 9,299 
Lenovo Vibe K5 Note (4GB/64GB);5.5 inch Screen;13MP Camera;4GB RAM;3500mAh ;Rs. 11,499
HTC One M9;5 inch Screen;20MP Camera;3GB RAM;2840mAh ;Rs. 14,990
LG V20;5.7 inch Screen;16MP Camera;4GB RAM;3200mAh ;Rs. 25,490
Apple iPhone 8;4.7 inch Screen;12MP Camera;2GB RAM;2700mAh ;Rs. 59,999
Micromax Canvas Mega 4G;5.5 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 7,499 
Samsung Galaxy A8;5.7 inch Screen;16MP Camera;2GB RAM;3050mAh ;Rs. 25,990
Honor 8 Lite;5.2 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 14,320
Panasonic P85;5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 4,999 
Motorola Moto E3 Power;5 inch Screen;8MP Camera;2GB RAM;3500mAh ;Rs. 6,999 
Lava X38 2GB RAM;5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 6,500 
Tecno i3 Pro;5 inch Screen;8MP Camera;3GB RAM;3050mAh ;Rs. 9,999 
Apple iPhone 7 Plus;5.5 inch Screen;12MP Camera;3GB RAM;2900mAh ;Rs. 54,999
Lenovo Vibe P1 Turbo;5.5 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 9,499 
Xiaomi Redmi 3S;5 inch Screen;13MP Camera;2GB RAM;4100mAh ;Rs. 7,490 
Coolpad Note 5 Lite;5 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 6,999 
Samsung Galaxy S8;5.8 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 53,900
Honor Holly 2 Plus;5 inch Screen;13MP Camera;2GB RAM;4000mAh ;Rs. 7,890 
Samsung Galaxy J2 (2016);5 inch Screen;8MP Camera;1.5GB RAM;2600mAh ;Rs. 7,500 
Lenovo A6600 Plus;5 inch Screen;8MP Camera;2GB RAM;2300mAh ;Rs. 5,440 
Oppo F1 Plus;5.5 inch Screen;13MP Camera;4GB RAM;2850mAh ;Rs. 19,999
Lenovo Zuk Z1;5.5 inch Screen;13MP Camera;3GB RAM;4100mAh ;Rs. 9,700 
